"unigram","bigram","trigram","freq"
"is","it","possible",23
"it","possible","to",23
"its","funny","how",23
"its","very","odd",23
"itunes","gift","card",23
"know","if","you",23
"last","name","of",23
"laughs","at","them",23
"make","me","feel",23
"me","my","follower",23
"me","to","call",23
"me","when","i",23
"much","of","a",23
"my","follower","will",23
"my","heart","and",23
"need","to","get",23
"not","going","to",23
"noticed","vabletron","picked",23
"of","time","to",23
"one","way","to",23
"or","gets","hurt",23
"picked","the","derby",23
"seem","to","be",23
"she","was","born",23
"show","horse","boom",23
"someones","friend","faceplants",23
"sorta","and","the",23
"that","i","would",23
"that","no","one",23
"thats","what","they",23
"the","derby","winner",23
"the","long","run",23
"the","show","horse",23
"the","year","i",23
"them","its","very",23
"there","friend","always",23
"thing","to","do",23
"to","be","so",23
"to","be","there",23
"to","build","a",23
"to","do","so",23
"to","hang","out",23
"to","see","a",23
"to","shop","for",23
"towards","the","end",23
"vabletron","picked","the",23
"very","odd","haha",23
"want","to","see",23
"was","on","the",23
"watch","it","its",23
"we","miss","you",23
"what","you","want",23
"when","i","think",23
"whenever","someones","friend",23
"who","told","me",23
"will","be","released",23
"winner","sorta","and",23
"you","can","see",23
"you","noticed","vabletron",23
"you","up","to",23
"a","chance","to",22
"a","few","weeks",22
"a","good","person",22
"a","very","unexpected",22
"advertising","people","are",22
"all","star","weekend",22
"and","thank","you",22
"are","diagnosed","before",22
"at","in","the",22
"at","least","a",22
"at","the","door",22
"bands","so","im",22
"breast","cancer","is",22
"college","football","fully",22
"come","hang","out",22
"dont","know","how",22
"football","fully","myelinated",22
"for","almost","a",22
"for","college","football",22
"for","the","mention",22
"for","those","of",22
"forward","to","it",22
"from","the","room",22
"gave","up","before",22
"get","rid","of",22
"get","to","see",22
"go","night","night",22
"going","on","in",22
"have","something","to",22
"have","to","admit",22
"have","to","go",22
"here","for","the",22
"him","on","the",22
"how","long","our",22
"i","am","sure",22
"i","could","not",22
"i","did","not",22
"i","love","the",22
"i","think","we",22
"if","i","had",22
"if","you","can",22
"if","youre","going",22
"in","his","life",22
"in","to","the",22
"is","a","very",22
"is","just","come",22
"is","the","best",22
"is","where","i",22
"it","turns","out",22
"it","was","me",22
"just","come","anyway",22
"just","signed","up",22
"just","two","bands",22
"long","our","set",22
"make","me","smile",22
"me","please","luv",22
"moms","out","there",22
"nervous","but","i",22
"new","york","city",22
"not","to","mention",22
"of","the","list",22
"of","the","water",22
"on","a","new",22
"on","in","the",22
"our","set","is",22
"paying","for","college",22
"people","are","good",22
"please","make","sure",22
"see","you","there",22
"set","is","just",22
"sure","how","long",22
"take","a","picture",22
"thanks","so","much",22
"that","have","been",22
"that","there","was",22
"the","amount","of",22
"the","center","of",22
"the","face","of",22
"the","key","to",22
"the","light","of",22
"the","older","generation",22
"the","way","to",22
"there","will","be",22
"theres","just","two",22
"this","at","the",22
"those","who","are",22
"to","figure","out",22
"to","get","rid",22
"to","hear","that",22
"to","leave","the",22
"to","the","box",22
"two","bands","so",22
"wait","a","minute",22
"was","in","a",22
"what","you","have",22
"whats","your","favorite",22
"where","you","are",22
"with","your","new",22
"would","you","like",22
"you","all","the",22
"you","know","it",22
"a","life","without",21
"a","man","with",21
"a","need","to",21
"a","way","to",21
"all","of","us",21
"all","the","dads",21
"and","every","day",21
"and","for","all",21
"and","its","not",21
"and","the","fact",21
"and","you","have",21
"are","theres","and",21
"as","i","have",21
"as","we","speak",21
"at","me","just",21
"at","the","beach",21
"at","the","last",21
"be","mad","at",21
"been","hoodwinked","by",21
"best","of","luck",21
"but","i","am",21
"by","chicks","claiming",21
"check","it","out",21
"chicks","claiming","their",21
"claiming","their","kids",21
"dads","out","there",21
"do","you","do",21
"do","you","want",21
"dont","be","mad",21
"down","the","drain",21
"feel","sorry","for",21
"figure","it","out",21
"follow","me","please",21
"for","first","time",21
"for","the","first",21
"for","the","rts",21
"give","it","a",21
"give","you","a",21
"going","to","get",21
"harris","in","bebe",21
"have","a","lot",21
"have","a","nice",21
"have","been","hoodwinked",21
"have","the","most",21
"have","to","get",21
"help","from","a",21
"hoodwinked","by","chicks",21
"i","aint","even",21
"i","am","happy",21
"i","cant","even",21
"i","did","it",21
"i","do","have",21
"i","dont","have",21
"i","feel","sorry",21
"i","had","my",21
"i","have","something",21
"i","mean","you",21
"i","needed","to",21
"i","tend","to",21
"id","like","to",21
"if","i","can",21
"if","they","were",21
"in","bebe","kids",21
"in","south","africa",21
