"unigram","bigram","freq"
"good","luck",62
"i","guess",62
"make","me",62
"my","dad",62
"my","first",62
"my","friends",62
"my","phone",62
"say","it",62
"that","she",62
"what","do",62
"year","old",62
"dont","forget",61
"i","wanna",61
"in","all",61
"in","front",61
"is","going",61
"it","could",61
"it","should",61
"list","of",61
"the","people",61
"the","room",61
"things","to",61
"use","the",61
"was","one",61
"world","i",61
"and","support",60
"and","their",60
"but","now",60
"have","had",60
"i","felt",60
"if","its",60
"is","like",60
"their","own",60
"to","live",60
"what","we",60
"enough","for",59
"i","havent",59
"i","see",59
"im","pretty",59
"no","matter",59
"not","even",59
"see","it",59
"should","i",59
"that","this",59
"the","more",59
"the","national",59
"think","the",59
"u","know",59
"valentines","day",59
"was","my",59
"we","would",59
"a","book",58
"a","really",58
"continue","to",58
"do","this",58
"for","their",58
"how","are",58
"is","also",58
"my","favorite",58
"out","for",58
"put","in",58
"see","that",58
"that","way",58
"the","answer",58
"top","of",58
"use","it",58
"want","a",58
"with","his",58
"a","problem",57
"about","this",57
"after","a",57
"am","so",57
"and","said",57
"but","still",57
"dont","miss",57
"even","though",57
"for","some",57
"had","the",57
"here","in",57
"him","and",57
"hope","that",57
"if","it",57
"if","not",57
"must","be",57
"name","of",57
"not","for",57
"only","one",57
"that","can",57
"the","second",57
"theres","a",57
"time","in",57
"to","leave",57
"to","stop",57
"to","wait",57
"will","get",57
"youre","not",57
"and","has",56
"for","more",56
"has","the",56
"i","found",56
"i","needed",56
"id","love",56
"is","there",56
"just","to",56
"my","new",56
"of","me",56
"on","his",56
"on","that",56
"one","thing",56
"pictures","of",56
"pretty","sure",56
"rather","than",56
"so","im",56
"the","computer",56
"the","past",56
"the","sun",56
"they","would",56
"this","the",56
"tonight","at",56
"until","the",56
"wanting","to",56
"we","need",56
"which","was",56
"work","for",56
"you","say",56
"after","all",55
"are","not",55
"but","dont",55
"give","you",55
"i","find",55
"needed","to",55
"not","just",55
"of","an",55
"or","not",55
"our","new",55
"so","you",55
"to","ask",55
"to","pick",55
"about","our",54
"are","going",54
"doing","a",54
"he","said",54
"may","have",54
"sense","of",54
"she","had",54
"the","video",54
"they","dont",54
"think","it",54
"think","its",54
"to","check",54
"us","know",54
"and","every",53
"and","will",53
"as","much",53
"follow","back",53
"from","pm",53
"glad","you",53
"help","you",53
"hit","the",53
"i","use",53
"ill","get",53
"in","life",53
"in","there",53
"love","this",53
"next","time",53
"of","your",53
"since","the",53
"so","if",53
"spent","the",53
"thats","what",53
"the","future",53
"the","number",53
"the","old",53
"to","us",53
"up","on",53
"was","on",53
"what","to",53
"wont","be",53
"you","just",53
"you","really",53
"are","just",52
"back","and",52
"but","if",52
"does","that",52
"for","her",52
"get","you",52
"had","that",52
"happened","to",52
"i","knew",52
"in","which",52
"is","all",52
"is","great",52
"is","very",52
"it","at",52
"like","this",52
"love","with",52
"many","people",52
"my","way",52
"now","the",52
"of","what",52
"out","with",52
"same","time",52
"the","internet",52
"the","month",52
"the","night",52
"they","do",52
"work","and",52
"always","be",51
"and","on",51
"but","a",51
"but","we",51
"for","both",51
"going","on",51
"he","has",51
"hoping","to",51
"hydrogen","ions",51
"in","to",51
"me","i",51
"my","own",51
"of","which",51
"people","in",51
"the","air",51
"the","child",51
"the","great",51
"the","idea",51
"the","main",51
"the","word",51
"to","it",51
"to","send",51
"up","a",51
"was","just",51
"was","only",51
"was","to",51
"what","im",51
"why","are",51
"yeah","i",51
"you","at",51
"and","as",50
"are","great",50
"as","many",50
"as","soon",50
"at","home",50
"at","me",50
"be","more",50
"feels","like",50
"for","them",50
"had","not",50
"have","no",50
"i","live",50
"into","my",50
"just","dont",50
"me","but",50
"me","how",50
"need","a",50
"now","im",50
"room","and",50
"soon","as",50
"than","the",50
"the","country",50
"the","things",50
"think","that",50
"to","and",50
"to","tweet",50
"was","born",50
"was","like",50
"woke","up",50
"you","love",50
"a","chance",49
"a","child",49
"all","this",49
"and","some",49
"be","so",49
"but","she",49
"do","with",49
"for","hours",49
"for","robert",49
"get","out",49
"got","me",49
"heart","and",49
"here","at",49
"how","i",49
"its","all",49
"keep","the",49
"less","than",49
"much","of",49
"out","a",49
"pair","of",49
"sure","how",49
"take","the",49
"that","just",49
"the","door",49
"them","and",49
"tried","to",49
"using","a",49
"why","cant",49
"will","have",49
"with","all",49
"with","us",49
"a","free",48
"a","much",48
"a","part",48
"a","wonderful",48
"all","about",48
"all","in",48
"and","his",48
"be","on",48
"best","friend",48
"come","out",48
"down","to",48
"everyone","in",48
"for","moda",48
"i","are",48
"i","wonder",48
"im","just",48
"is","of",48
"lot","about",48
"must","have",48
"rt","i",48
"she","said",48
"than","i",48
"the","united",48
"they","will",48
"think","about",48
"this","will",48
"today","and",48
"today","i",48
"watch","the",48
"what","it",48
"when","im",48
"will","see",48
"a","different",47
"a","full",47
"a","piece",47
"a","question",47
"and","make",47
"can","see",47
"can","you",47
"day","i",47
"dont","be",47
"for","one",47
"heading","to",47
"high","school",47
"hope","to",47
"interested","in",47
"it","doesnt",47
"it","looks",47
"it","off",47
"its","funny",47
"know","you",47
"made","it",47
"me","know",47
"middle","of",47
"my","best",47
"my","list",47
"of","time",47
"off","to",47
"on","it",47
"pm","and",47
"put","the",47
"read","the",47
"tend","to",47
"that","have",47
"the","small",47
"there","were",47
"this","stuff",47
"to","her",47
"to","read",47
"with","them",47
"a","second",46
"after","the",46
"all","that",46
"am","a",46
"am","i",46
"back","the",46
"because","they",46
"but","that",46
"day","of",46
"dont","feel",46
"for","him",46
"give","it",46
"his","own",46
"how","about",46
"i","also",46
"i","only",46
"i","try",46
"in","her",46
"in","one",46
"is","still",46
"it","makes",46
"it","wont",46
"my","brain",46
"my","brother",46
"on","her",46
"on","our",46
"on","saturday",46
"or","just",46
"place","and",46
"since","i",46
"sometimes","i",46
"that","all",46
"that","no",46
"thing","but",46
"we","love",46
"work","on",46
"you","that",46
"youre","a",46
"a","woman",45
"any","more",45
"be","my",45
"big","sword",45
"by","his",45
"call","me",45
"day","at",45
"find","out",45
"for","that",45
"found","a",45
"hang","out",45
"has","become",45
"in","for",45
"listen","to",45
"not","that",45
"of","water",45
"on","one",45
"on","their",45
"people","you",45
"pick","up",45
"pretty","much",45
"see","what",45
"south","carolina",45
"the","case",45
"the","light",45
"the","three",45
"this","sunday",45
"to","hold",45
"to","what",45
"wait","until",45
"were","all",45
"what","he",45
"whats","the",45
"who","have",45
"will","do",45
"with","him",45
"would","love",45
"your","blog",45
"and","just",44
"and","say",44
"and","see",44
"and","work",44
"can","also",44
"day","and",44
"find","the",44
"get","your",44
"here","for",44
"how","long",44
"it","now",44
"its","going",44
"love","me",44
"made","me",44
"me","please",44
"my","birthday",44
"my","day",44
"no","more",44
"of","work",44
"off","my",44
"said","we",44
"that","if",44
"the","beach",44
"the","girls",44
"to","an",44
"to","eat",44
"towards","the",44
"was","great",44
"which","i",44
"years","of",44
"you","on",44
"you","would",44
"a","bad",43
"a","game",43
"a","pretty",43
"about","my",43
"and","cant",43
"and","there",43
"be","nice",43
"buy","a",43
"care","about",43
"could","not",43
"find","it",43
"for","now",43
"forget","to",43
"full","of",43
"get","back",43
"i","say",43
"i","still",43
"i","were",43
"im","so",43
"it","just",43
"it","really",43
"me","with",43
"move","on",43
"one","i",43
"only","thing",43
"our","own",43
"said","it",43
"south","africa",43
"take","on",43
"that","could",43
"the","daily",43
"the","life",43
"the","morning",43
"the","paper",43
"the","universe",43
"time","on",43
"to","stay",43
"tweet","me",43
"well","and",43
"went","to",43
"when","people",43
"who","wants",43
"with","what",43
"without","a",43
"work","the",43
"you","so",43
"are","on",42
"become","a",42
"breast","cancer",42
"called","the",42
"come","see",42
"figure","out",42
"for","another",42
"good","to",42
"have","any",42
"i","couldnt",42
"i","put",42
"isnt","that",42
"it","the",42
"matter","what",42
"mom","i",42
"my","wife",42
"not","want",42
"of","paper",42
"on","how",42
"same","thing",42
"searching","for",42
"seem","to",42
"so","he",42
"so","they",42
"something","to",42
"the","list",42
"the","place",42
"they","had",42
"throughout","the",42
"to","become",42
"to","create",42
"to","their",42
"trip","to",42
"two","of",42
"two","weeks",42
"we","just",42
"what","if",42
"where","the",42
"years","old",42
"you","find",42
"you","of",42
"a","huge",41
"a","post",41
"a","story",41
"a","total",41
"about","a",41
"am","going",41
"and","was",41
"ask","me",41
"back","on",41
"be","an",41
"because","the",41
"but","then",41
"do","that",41
"each","day",41
"finished","a",41
"for","years",41
"from","an",41
"getting","ready",41
"go","on",41
"happy","thanksgiving",41
"has","to",41
"how","the",41
"i","read",41
"i","wouldnt",41
"if","a",41
"in","i",41
"in","new",41
"it","feels",41
"it","wasnt",41
"just","the",41
"know","the",41
"lot","more",41
"miss","you",41
"not","get",41
"of","her",41
"one","to",41
"or","something",41
"the","bottom",41
"the","following",41
"this","month",41
"today","was",41
"today","we",41
"where","he",41
"who","was",41
"wonder","if",41
"working","at",41
"you","ever",41
"youre","going",41
"anyone","else",40
"can","use",40
"control","over",40
"dont","do",40
"dont","really",40
